Dataset,Model,optimal lambda,Distributioanl disparity: Equal opportunity (TPR),Distributioanl disparity: Equalized odds,Distributioanl disparity: PR,Positive Rate Parity (Threshold = 0.5),Equalized odds Parity (Threshold = 0.5),Equal opportunity Parity (Threshold = 0.5),Total Accuracy (Threshold = 0.5),Minority Accuracy (Threshold = 0.5),Majority Accuracy (Threshold = 0.5),Total F1 (Threshold = 0.5),Minority F1 (Threshold = 0.5),Majority F1 (Threshold = 0.5),Positive Rate Parity (Threshold = 0.9),Equalized odds Parity (Threshold = 0.9),Equal opportunity Parity (Threshold = 0.9),Total Accuracy (Threshold = 0.9),Minority Accuracy (Threshold = 0.9),Majority Accuracy (Threshold = 0.9),Total F1 (Threshold = 0.9),Minority F1 (Threshold = 0.9),Majority F1 (Threshold = 0.9),Total AUC,Minority AUC,Majority AUC,Delta AUC
DBLP-GoogleScholar,DeepMatcher,1.0,0.08283547979797956,0.06934319535459234,0.047092426749940824,0.05270801751629342,0.07861425972936797,0.09406565656565657,0.9810170672239638,0.9592529711375212,0.9835047545119348,0.9490892106492294,0.8518518518518519,0.9570490146538656,0.07070304044292196,0.13997342332324658,0.13914141414141412,0.9766631835597352,0.9643463497453311,0.9780710265864545,0.9352030947775629,0.8551724137931035,0.9412376495059802,0.9859403005377033,0.9458619842829076,0.9890823925054048,0.043220408222497175
Beer,LogReg,0.6482412060301508,0.04383333333333341,0.16131397849462278,0.23755714285714524,0.26666666666666666,0.14220430107526894,0.04166666666666663,0.9340659340659341,0.9714285714285714,0.8095238095238095,0.8,0.875,0.7142857142857143,0.1476190476190476,0.19166666666666665,0.125,0.9010989010989011,0.9285714285714286,0.8095238095238095,0.5714285714285714,0.5454545454545454,0.6,0.987012987012987,0.997983870967742,0.9444444444444445,0.05353942652329746
iTunes-Amazon,EMTransformer,0.19597989949748745,0.0,0.05053658536585275,0.10016835357624748,0.10087719298245612,0.04878048780487809,0.0,0.944954128440367,0.9615384615384616,0.9298245614035088,0.9,0.9166666666666666,0.8888888888888888,0.08333333333333331,0.024390243902439046,0.0,0.9541284403669725,0.9615384615384616,0.9473684210526315,0.9152542372881356,0.9166666666666666,0.9142857142857143,0.9972899728997291,0.9977827050997783,1.0,0.0022172949002217113
Beer,DITTO,0.0,0.021222222222222198,0.31195119047619185,0.40181857923497727,0.43551912568306006,0.32738095238095233,0.0,0.8791208791208791,0.9508196721311475,0.7333333333333333,0.717948717948718,0.7692307692307693,0.6923076923076923,0.26775956284153,0.18412698412698403,0.0888888888888888,0.9560439560439561,0.9836065573770492,0.9,0.8571428571428571,0.8888888888888888,0.8421052631578947,0.9777365491651205,1.0,0.9417989417989417,0.05820105820105825
DBLP-GoogleScholar,DITTO,0.8944723618090452,0.01970757575757581,0.030989380409001673,0.04007750508464751,0.039901921408631025,0.0260572133745004,0.014646464646464574,0.9740508533611982,0.969439728353141,0.9745779157772172,0.9307942405945193,0.8941176470588236,0.9339384770549672,0.053094164080000866,0.04594532067185597,0.049368686868686895,0.9695228143504006,0.966044142614601,0.9699204346982341,0.9152542372881356,0.8701298701298701,0.9188906331763474,0.994337212744847,0.9908889980353635,0.9947222646838308,0.0038332666484673927
Walmart-Amazon,EMTransformer,1.0,0.009579920079920133,0.0043402397206982425,0.025830405223478722,0.023837170166935928,0.004165143012343608,0.005994005994005902,0.9716935090287946,0.96875,0.971997845988153,0.8457446808510638,0.75,0.8522727272727273,0.028507000538502955,0.0007627039407364089,0.005994005994005902,0.9726695949243533,0.9739583333333334,0.9725363489499192,0.8502673796791443,0.782608695652174,0.8547008547008547,0.9112191799178131,0.9003013561024612,0.9120255863539446,0.011724230251483392
Amazon-Google,DITTO,0.34673366834170855,0.057828828828828734,0.06553882009404685,0.05508305106482484,0.05793985480459978,0.042538388791857784,0.03153153153153154,0.935455734845181,0.9765258215962441,0.9260846277450455,0.6262626262626263,0.5454545454545454,0.6310160427807486,0.021424745581146223,0.1606971713354692,0.15765765765765766,0.9110335804622764,0.971830985915493,0.8971612212104981,0.25547445255474455,0.0,0.26717557251908397,0.9585808395910387,0.9770531400966184,0.9547167228018291,0.0223364172947893
iTunes-Amazon,HierGAT,1.0,0.24459659090908895,0.2709136640798208,0.13068859649122916,0.049932523616734115,0.004018847006651893,0.02840909090909094,0.9541284403669725,0.9423076923076923,0.9649122807017544,0.9090909090909091,0.8695652173913043,0.9375,0.13360323886639675,0.38636363636363635,0.38636363636363635,0.8990825688073395,0.8653846153846154,0.9298245614035088,0.7441860465116279,0.5333333333333333,0.8571428571428571,0.9719963866305328,0.9467849223946785,0.9969512195121951,0.050166297117516634
Fodors-Zagat,HierGAT,0.0,0.04115789473684222,0.04120169035728017,0.02595979020978978,0.02447552447552448,0.052631578947368474,0.052631578947368474,0.9947089947089947,1.0,0.9935897435897436,0.9767441860465116,1.0,0.972972972972973,0.018065268065268064,0.10526315789473684,0.10526315789473684,0.9894179894179894,1.0,0.9871794871794872,0.9523809523809523,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
Walmart-Amazon,HierGAT,0.0,0.14637612387612292,0.13453933584021238,0.02587665757942911,0.02599959612277867,0.15568694519795379,0.1688311688311689,0.9629087359687653,0.953125,0.9639203015616586,0.7816091954022989,0.5714285714285714,0.7951070336391437,0.028877221324717282,0.12409602601570946,0.13036963036963045,0.9638848218643241,0.9635416666666666,0.9639203015616586,0.7771084337349398,0.631578947368421,0.7859424920127795,0.9600204350544934,0.9316926167754896,0.9623158930621617,0.030623276286672052
Walmart-Amazon,LinReg,0.964824120603015,0.07807219662058489,0.07807219662058489,0.03234024437606496,0.034042362501120305,0.08218125960061445,0.08218125960061445,0.9536359199609565,0.9776536312849162,0.9513368983957219,0.6735395189003437,0.6,0.6761565836298933,0.034042362501120305,0.08218125960061445,0.08218125960061445,0.9536359199609565,0.9776536312849162,0.9513368983957219,0.6735395189003437,0.6,0.6761565836298933,0.7538860103626943,0.7142857142857143,0.7553763440860215,0.0410906298003072
Fodors-Zagat,SVM,1.0,0.0319821428571426,0.04234103641456629,0.040587406015037464,0.03759398496240601,0.0849089635854342,0.0892857142857143,0.9576719576719577,0.9642857142857143,0.9548872180451128,0.8181818181818182,0.875,0.7857142857142857,0.029135338345864667,0.0535714285714286,0.0535714285714286,0.9523809523809523,0.9464285714285714,0.9548872180451128,0.7428571428571429,0.7692307692307693,0.7272727272727273,0.9942841589548176,0.9947916666666667,0.9933973589435774,0.0013943077230893497
Amazon-Google,SVM,0.005025125628140704,0.029785550458715622,0.032916993709657554,0.006891179100591978,0.00776483638380477,0.04048273666541256,0.03669724770642202,0.8988225032708242,0.9673469387755103,0.8801996672212978,0.06451612903225806,0.0,0.06896551724137931,0.0011092623405435386,0.009174311926605505,0.009174311926605505,0.8988225032708242,0.9673469387755103,0.8801996672212978,0.01694915254237288,0.0,0.01818181818181818,0.8271192139574848,0.8097310126582278,0.8249413943796489,0.015210381721421085
Fodors-Zagat,EMTransformer,0.0,0.0,0.0,0.030824009324009877,0.03088578088578088,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03088578088578088,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DBLP-ACM,HierGAT,0.7386934673366834,0.008051493563304618,0.009258706783780211,0.04464874513367637,0.04356186821940247,0.007502426162872444,0.007999000124984446,0.9943388596845936,0.9931506849315068,0.9945945945945946,0.9843400447427293,0.9763779527559056,0.9856584093872229,0.0459885788652912,0.019227267087381872,0.018622672165979237,0.9967650626769107,0.9954337899543378,0.9970515970515971,0.9909297052154195,0.9838709677419355,0.9920844327176781,0.9999123075761813,0.9998730158730159,0.9999158962445294,4.288037151345403e-05
Beer,LinReg,0.964824120603015,0.15833333333333305,0.34833333333333677,0.2623809523809483,0.27619047619047615,0.3666666666666667,0.16666666666666663,0.9010989010989011,0.9428571428571428,0.7619047619047619,0.64,0.6666666666666666,0.6153846153846154,0.27619047619047615,0.3666666666666667,0.16666666666666663,0.9010989010989011,0.9428571428571428,0.7619047619047619,0.64,0.6666666666666666,0.6153846153846154,0.7662337662337662,0.75,0.7333333333333333,0.01666666666666672
Walmart-Amazon,HierMatcher,0.0,0.1198746253746253,0.12075758076342705,0.021480824246095882,0.022936860527732902,0.12947803907150823,0.12887112887112884,0.9604685212298683,0.9739583333333334,0.959073774905762,0.7896103896103897,0.8,0.7888888888888889,0.0317548465266559,0.04353020114214157,0.036963036963037044,0.9551000488042948,0.9739583333333334,0.9531502423263328,0.7088607594936709,0.7058823529411765,0.7090301003344481,0.9406378417009112,0.9899547965846308,0.9378645235361653,0.052090273048465474
Fodors-Zagat,LogReg,0.10552763819095477,0.013214285714285724,0.016685049019607847,0.0357152255639096,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027255639097744366,0.0535714285714286,0.0535714285714286,0.9894179894179894,0.9821428571428571,0.9924812030075187,0.9523809523809523,0.9333333333333333,0.9629629629629629,1.0,1.0,1.0,0.0
Walmart-Amazon,DITTO,1.0,0.09827322677322672,0.09818334666570262,0.025500673128702273,0.03119951534733441,0.13043882150668662,0.1383616383616384,0.9594924353343094,0.953125,0.9601507808292946,0.7810026385224275,0.6086956521739131,0.7921348314606742,0.035339256865912765,0.15574765796584888,0.15784215784215794,0.9629087359687653,0.9635416666666666,0.962843295638126,0.7790697674418605,0.631578947368421,0.7876923076923077,0.9379355011613365,0.9748869914615771,0.9358241758241758,0.03906281563740133
iTunes-Amazon,LogReg,1.0,0.0803693181818173,0.09249126940133019,0.07285020242914939,0.08670715249662617,0.0812084257206207,0.05681818181818177,0.9174311926605505,0.9230769230769231,0.9122807017543859,0.8363636363636363,0.8181818181818182,0.8484848484848485,0.03913630229419701,0.03977272727272729,0.03977272727272729,0.926605504587156,0.9423076923076923,0.9122807017543859,0.8260869565217391,0.8421052631578947,0.8148148148148148,0.9658988256549232,0.9356984478935699,0.9893292682926829,0.05363082039911293
DBLP-ACM,HierMatcher,0.0,0.008751031121109898,0.009424519964629561,0.04050101084895606,0.04830197569923597,0.0020057952248109245,0.005249343832021025,0.9943388596845936,1.0,0.9931203931203931,0.9844097995545658,1.0,0.9818652849740933,0.05023728585372422,0.03549858565140063,0.03187101612298471,0.9939344925192074,0.9931506849315068,0.9941031941031941,0.9830508474576272,0.975609756097561,0.984251968503937,0.9995537676661382,1.0,0.9994747482441357,0.0005252517558642644
DBLP-ACM,LinReg,0.964824120603015,0.005105611798525177,0.007341806881153392,0.04223856484130478,0.044461647201373244,0.0077282177696349486,0.0053743282089738775,0.9745248685806712,0.9748858447488584,0.9744471744471744,0.9330499468650372,0.9185185185185185,0.9354838709677419,0.044461647201373244,0.0077282177696349486,0.0053743282089738775,0.9745248685806712,0.9748858447488584,0.9744471744471744,0.9330499468650372,0.9185185185185185,0.9354838709677419,0.9800766143176197,0.9787301587301588,0.9802403780543151,0.0015102193241562922
Walmart-Amazon,SVM,0.04522613065326633,0.07643625192012282,0.08374352907025517,0.041938583335822587,0.03618139993427538,0.08455655651272848,0.08218125960061445,0.9516837481698389,0.9776536312849162,0.9491978609625669,0.6644067796610169,0.6,0.6666666666666666,0.03136856570967646,0.05529953917050695,0.05529953917050695,0.9511957052220595,0.9776536312849162,0.948663101604278,0.6503496503496503,0.6,0.6521739130434783,0.8626245086653563,0.813953488372093,0.8618337036753251,0.047880215303232054
Amazon-Google,DeepMatcher,0.5577889447236181,0.10424774774774757,0.1132901417606322,0.05426281775638668,0.07915965710348505,0.04829840412634123,0.020270270270270285,0.930658525948539,0.9788732394366197,0.9196572040707016,0.6394557823129252,0.6086956521739131,0.6411483253588517,0.07799537808892275,0.44816807689148114,0.4256756756756757,0.9315307457479285,0.9741784037558685,0.9217996786288163,0.5922077922077922,0.15384615384615385,0.6075268817204301,0.8460521454693383,0.7926731078904994,0.8500698266655715,0.05739671877507213
DBLP-ACM,DeepMatcher,0.0,0.011118860142482237,0.00992407896775906,0.03848239148239138,0.04307046772800199,0.008328594959487345,0.01049868766404205,0.9947432268499797,0.997716894977169,0.9941031941031941,0.9854423292273237,0.9921259842519685,0.9843342036553525,0.03798256537982567,0.019705195858982005,0.01824771903512057,0.9931257581884351,0.9954337899543378,0.9926289926289926,0.9806157354618016,0.9841269841269841,0.9800266311584553,0.9993872630639511,0.9993650793650793,0.9993858838987327,2.0804533653384638e-05
Walmart-Amazon,DeepMatcher,1.0,0.15984615384615475,0.1659428002128985,0.037511224421109324,0.014051561658589118,0.05450920811686044,0.10289710289710297,0.9458272327964861,0.9114583333333334,0.9493807215939688,0.6908077994428969,0.41379310344827586,0.7151515151515152,0.048280156165858915,0.37300550196072585,0.3676323676323677,0.9511957052220595,0.953125,0.9509962304792676,0.6710526315789473,0.3076923076923077,0.6872852233676976,0.8333300763802038,0.7769964841788046,0.8364523536165327,0.05945586943772807
DBLP-GoogleScholar,HierMatcher,1.0,0.03282664141414141,0.03898795373750422,0.03358861981267943,0.037721445334726794,0.0010740003086980865,0.01969696969696977,0.9691745036572623,0.9507640067911715,0.9712788666796042,0.9212983548243664,0.8397790055248618,0.9284332688588007,0.052607527156284264,0.04764168797648316,0.04949494949494948,0.9662138627655869,0.966044142614601,0.9662332621773724,0.9031936127744511,0.8648648648648649,0.90625,0.9958400012802457,0.9887401768172889,0.9963993769062229,0.0076592000889340595
Beer,HierMatcher,0.0,0.0518444444444446,0.10953849206349206,0.13546120218579255,0.2344262295081967,0.06468253968253967,0.15555555555555556,0.8571428571428571,0.9508196721311475,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.8461538461538461,0.9180327868852459,0.7,0.0,0.0,0.0,0.8209647495361782,0.9464285714285714,0.5767195767195767,0.36970899470899465
Amazon-Google,LinReg,0.964824120603015,0.017975917431192832,0.03355951364570395,0.031593545904218694,0.033256364109703784,0.03532580383758285,0.018922018348623865,0.9075447012647188,0.9734693877551021,0.8896283971159179,0.3116883116883117,0.3157894736842105,0.31141868512110726,0.033256364109703784,0.03532580383758285,0.018922018348623865,0.9075447012647188,0.9734693877551021,0.8896283971159179,0.3116883116883117,0.3157894736842105,0.31141868512110726,0.5962503580279199,0.59375,0.5950091164298325,0.001259116429832452
Amazon-Google,HierMatcher,1.0,0.08027477477477483,0.08346079717883607,0.05034106082666324,0.05062727732220855,0.029345732675982505,0.04054054054054057,0.9302224160488443,0.9389671361502347,0.9282271023031602,0.673469387755102,0.38095238095238093,0.7008928571428571,0.057436926504572876,0.2740272187080698,0.26126126126126126,0.9310946358482337,0.9765258215962441,0.920728441349759,0.5511363636363636,0.2857142857142857,0.5621301775147929,0.9392545962482826,0.9307568438003221,0.9394137298392616,0.008656886038939549
DBLP-ACM,SVM,0.0,0.01780477440319965,0.018660579020730053,0.03915992056813989,0.04755365577283385,0.009379386826949054,0.00037495313085866844,0.9636069551152446,0.9703196347031964,0.9621621621621622,0.9038461538461539,0.9022556390977443,0.9041095890410958,0.05815242390584857,0.11823824319420773,0.1146106736657918,0.9753336029114436,0.9680365296803652,0.9769041769041769,0.9272943980929678,0.875,0.9353507565337001,0.9937005758839175,0.9911957671957672,0.9941270188868472,0.0029312516910799946
iTunes-Amazon,SVM,0.11557788944723618,0.12364772727272394,0.1807696784922406,0.1192139001349528,0.19703103913630227,0.29406873614190676,0.1477272727272727,0.8990825688073395,0.9423076923076923,0.8596491228070176,0.8,0.8421052631578947,0.7777777777777778,0.03913630229419701,0.03977272727272729,0.03977272727272729,0.926605504587156,0.9423076923076923,0.9122807017543859,0.8260869565217391,0.8421052631578947,0.8148148148148148,0.9607046070460705,0.9423503325942351,0.9801829268292683,0.03783259423503327
Fodors-Zagat,DITTO,0.0,0.06921052631579014,0.0693742732744276,0.022993006993007048,0.02447552447552448,0.052631578947368474,0.052631578947368474,0.9947089947089947,1.0,0.9935897435897436,0.9767441860465116,1.0,0.972972972972973,0.0,0.0,0.0,0.8835978835978836,0.9090909090909091,0.8782051282051282,0.0,0.0,0.0,0.9997278170930866,1.0,0.9996158278908951,0.00038417210910490773
Fodors-Zagat,LinReg,0.0,0.0,0.0,0.037556390977443656,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DBLP-ACM,EMTransformer,0.0,0.005551681039869982,0.004638529891139679,0.04282638977707389,0.042896570293830566,0.004521446306515187,0.0053743282089738775,0.9963606955115245,0.9954337899543378,0.9965601965601966,0.9898534385569335,0.9841269841269841,0.9908015768725361,0.042896570293830566,0.004521446306515187,0.0053743282089738775,0.9963606955115245,0.9954337899543378,0.9965601965601966,0.9898534385569335,0.9841269841269841,0.9908015768725361,0.9994616351195946,0.999957671957672,0.999343038589342,0.0006146333683300087
DBLP-GoogleScholar,HierGAT,0.9095477386934674,0.011841161616161642,0.024074941661825465,0.03485584904964122,0.036941244769147286,0.03012279537313911,0.016919191919192,0.975095785440613,0.9711375212224108,0.9755482243353386,0.9315461943513643,0.896969696969697,0.9345114345114345,0.05279961200836737,0.0571170826433709,0.0564393939393939,0.9587251828631139,0.9626485568760611,0.9582767320007762,0.8770108977685521,0.8428571428571429,0.8796866256295467,0.996770179874536,0.9946218074656189,0.9970667520751596,0.0024449446095407
iTunes-Amazon,DITTO,1.0,0.1893863636363649,0.21499611973392604,0.12454082321187598,0.12179487179487178,0.2062084257206208,0.18181818181818177,0.9357798165137615,0.9230769230769231,0.9473684210526315,0.8771929824561403,0.8181818181818182,0.9142857142857143,0.12685560053981104,0.3392461197339246,0.36363636363636365,0.9541284403669725,0.9038461538461539,1.0,0.9019607843137255,0.7368421052631579,1.0,0.9923215898825655,0.9800443458980044,1.0,0.019955654101995624
Amazon-Google,HierGAT,1.0,0.11584909909909934,0.12196013826036971,0.06655456646323227,0.056221097339257835,0.09032481007504134,0.09234234234234229,0.9380723942433493,0.9647887323943662,0.9319764327798608,0.6858407079646017,0.5454545454545454,0.6968973747016707,0.07939729072524776,0.427539089241217,0.40990990990990994,0.9419973833406018,0.9765258215962441,0.9341189073379753,0.6615776081424937,0.2857142857142857,0.6754617414248021,0.9491247514559802,0.8615136876006441,0.95262739943591,0.09111371183526595
Beer,DeepMatcher,0.457286432160804,0.06648888888888907,0.13312222222222256,0.1645333333333311,0.2349726775956284,0.14841269841269833,0.0888888888888888,0.9340659340659341,0.9508196721311475,0.9,0.8,0.7272727272727273,0.8421052631578947,0.0,0.0,0.0,0.8461538461538461,0.9180327868852459,0.7,0.0,0.0,0.0,0.9749536178107606,0.9785714285714285,0.9576719576719577,0.020899470899470862
Amazon-Google,EMTransformer,1.0,0.20062162162162106,0.22745776980892843,0.09246990351320716,0.09283427758121664,0.22946657507249557,0.20270270270270274,0.9472307021369385,0.9835680751173709,0.9389394750937332,0.7280898876404495,0.631578947368421,0.7323943661971831,0.09069180302310201,0.2192417605923619,0.1936936936936937,0.9472307021369385,0.9835680751173709,0.9389394750937332,0.7256235827664399,0.631578947368421,0.7298578199052133,0.8446397512691831,0.748792270531401,0.8476587529779018,0.09886648244650087
DBLP-ACM,LogReg,0.005025125628140704,0.013451193600799924,0.014981442232659238,0.04707172315528479,0.04830197569923597,0.01117199044194439,0.0053743282089738775,0.9919126566922766,0.9954337899543378,0.9911547911547911,0.977728285077951,0.9841269841269841,0.9766839378238342,0.050350599665668155,0.05853636493745418,0.05611798525184353,0.9842296805499393,0.9817351598173516,0.9847665847665847,0.9544924154025671,0.9322033898305084,0.9580514208389715,0.9989765517118893,0.9998730158730158,0.9988066787903024,0.00106633708271342
Beer,EMTransformer,0.0,0.0,0.15488095238094854,0.3182420765027297,0.3185792349726776,0.15476190476190466,0.0,0.9340659340659341,0.9672131147540983,0.8666666666666667,0.8235294117647058,0.8333333333333334,0.8181818181818182,0.3185792349726776,0.15476190476190466,0.0,0.9340659340659341,0.9672131147540983,0.8666666666666667,0.8235294117647058,0.8333333333333334,0.8181818181818182,0.9703153988868275,0.9964285714285713,0.9047619047619049,0.09166666666666645
iTunes-Amazon,HierMatcher,0.0,0.04223295454545468,0.0397129988913527,0.011171052631578957,0.036437246963562764,0.031042128603104402,0.09090909090909094,0.6330275229357798,0.5576923076923077,0.7017543859649122,0.5652173913043478,0.46511627906976744,0.6530612244897959,0.0,0.0,0.0,0.7522935779816514,0.7884615384615384,0.7192982456140351,0.0,0.0,0.0,0.8351400180668473,0.8314855875831485,0.8414634146341463,0.009977827050997812
iTunes-Amazon,LinReg,0.964824120603015,0.0863636363636378,0.0400221729490021,0.04743589743589737,0.049932523616734115,0.04212860310421285,0.09090909090909094,0.9724770642201835,0.9423076923076923,1.0,0.9454545454545454,0.8695652173913043,1.0,0.049932523616734115,0.04212860310421285,0.09090909090909094,0.9724770642201835,0.9423076923076923,1.0,0.9454545454545454,0.8695652173913043,1.0,0.9692863595302619,0.9301552106430155,1.0,0.06984478935698446
Beer,SVM,1.0,0.1226249999999995,0.18695403225806465,0.19364285714285662,0.17619047619047618,0.23602150537634403,0.25,0.9120879120879121,0.9,0.9523809523809523,0.75,0.631578947368421,0.9230769230769231,0.09999999999999999,0.125,0.125,0.9120879120879121,0.9285714285714286,0.8571428571428571,0.6,0.5454545454545454,0.6666666666666666,0.987012987012987,0.9778225806451613,1.0,0.022177419354838745
DBLP-GoogleScholar,EMTransformer,1.0,0.04330101010100967,0.03703895599634473,0.052785587507829836,0.05207706984607183,0.036851593777114555,0.0444444444444444,0.9801462904911181,0.9711375212224108,0.9811760139724433,0.9464285714285714,0.8944099378881988,0.9506863243518048,0.05392016189161736,0.03423983802894848,0.03838383838383841,0.9797979797979798,0.9745331069609507,0.980399767125946,0.9452313503305004,0.9056603773584906,0.9484430832057172,0.9696391707207783,0.943713163064833,0.971779044346904,0.028065881282070992
iTunes-Amazon,DeepMatcher,0.5376884422110553,0.07074431818181792,0.08182635809312669,0.06119399460188982,0.08839406207827258,0.11931818181818177,0.11931818181818177,0.9541284403669725,0.9423076923076923,0.9649122807017544,0.9056603773584906,0.8571428571428571,0.9375,0.045883940620782715,0.07386363636363635,0.07386363636363635,0.8532110091743119,0.8653846153846154,0.8421052631578947,0.5789473684210527,0.5333333333333333,0.6086956521739131,0.9819331526648599,0.9933481152993348,0.9695121951219512,0.023835920177383563
Beer,HierGAT,1.0,0.33140000000000175,0.4581142857142896,0.3330245901639355,0.35081967213114756,0.5428571428571428,0.4,0.945054945054945,0.9672131147540983,0.9,0.8275862068965517,0.75,0.8571428571428571,0.3005464480874317,0.6476190476190476,0.6,0.9560439560439561,0.9508196721311475,0.9666666666666667,0.8461538461538461,0.5714285714285714,0.9473684210526315,0.9874768089053803,1.0,0.9761904761904762,0.023809523809523836
Walmart-Amazon,LogReg,0.07035175879396985,0.07267434715821855,0.07338628379524444,0.038595061691512354,0.03671615929256415,0.08515038074075693,0.08218125960061445,0.9511957052220595,0.9776536312849162,0.948663101604278,0.6621621621621622,0.6,0.6643356643356644,0.032972843784542766,0.07142857142857145,0.07142857142857145,0.9526598340653978,0.9776536312849162,0.9502673796791444,0.6643598615916955,0.6,0.6666666666666666,0.889561372163659,0.9460132890365448,0.8860144816489157,0.05999880738762908
Fodors-Zagat,DeepMatcher,1.0,0.12770175438596587,0.13506014854654955,0.027729603729603855,0.03088578088578088,0.11867076450249714,0.1228070175438597,0.9470899470899471,0.9393939393939394,0.9487179487179487,0.7727272727272727,0.6666666666666666,0.7894736842105263,0.038461538461538464,0.3157894736842105,0.3157894736842105,0.9153439153439153,0.9090909090909091,0.9166666666666666,0.42857142857142855,0.0,0.48,0.9828524768644529,0.9777777777777777,0.9827122550902805,0.004934477312502739
Amazon-Google,LogReg,0.09547738693467336,0.04983027522935759,0.06269323737788714,0.05700180311725389,0.0485653163095521,0.0007718070484515893,0.02178899082568808,0.9158307893589185,0.9755102040816327,0.8996117581808097,0.4623955431754875,0.5,0.4597014925373134,0.005546311702717693,0.041915318496223194,0.04128440366972477,0.9014391626689926,0.9673469387755103,0.8835274542429284,0.07377049180327869,0.0,0.07894736842105263,0.9004205011975774,0.8971518987341772,0.8940873440801088,0.0030645546540684077
Fodors-Zagat,HierMatcher,0.9748743718592965,0.027929824561403502,0.06216096811371475,0.024633449883449884,0.03613053613053613,0.11929824561403513,0.052631578947368474,0.9841269841269841,0.9393939393939394,0.9935897435897436,0.9333333333333333,0.75,0.972972972972973,0.0,0.0,0.0,0.8835978835978836,0.9090909090909091,0.8782051282051282,0.0,0.0,0.0,0.9983669025585193,1.0,0.9988474836726854,0.0011525163273146122
DBLP-ACM,DITTO,1.0,0.012127234095738099,0.028316089283277307,0.026513929745436628,0.016973511494059457,0.053011657097880915,0.02887139107611547,0.9854427820460978,0.9726027397260274,0.9882063882063882,0.9600886917960089,0.9130434782608695,0.9685863874345549,0.041074573951286275,0.003913487839413143,0.004874390701162357,0.9878689850384149,0.9908675799086758,0.9872235872235873,0.9655963302752294,0.967741935483871,0.9652406417112299,0.9986124616484401,0.9983915343915344,0.9987670072075331,0.00037547281599870086
